name	superfamily	family	subfamily	primary sugars	backbone link	secondary sugars	secondary links	size	category	branching	sulfate	additional groups
oligoalgin	algin			guluronate; mannuronate	mannuronate beta-(1,4) guluronate; guluronate beta-(1,4) guluronate; mannuronate beta-(1,4) mannuronate; guluronate beta-(1,4) mannuronate			oligosaccharide	algal	none		
algin	algin			guluronate; mannuronate	mannuronate beta-(1,4) guluronate; guluronate beta-(1,4) guluronate; mannuronate beta-(1,4) mannuronate; guluronate beta-(1,4) mannuronate			polysaccharide	algal	none		
arabinan	arabinan			arabinose	arabinose alpha-(1,5) arabinose			polysaccharide	pectin			
alpha-arabinoside	arabinoside	alpha-arabinoside		arabinose	X alpha arabinose			glycoside				
beta-arabinoside	arabinoside			arabinose	X beta arabinose			glycoside				
inulin	fructan	beta-fructan	beta-(2,1)-fructan	fructose	xylose alpha-(1,2) glucuronate	glucose	fructose beta-(2,1) glucose	polysaccharide		low		
levan	fructan	beta-fructan	beta-(2,6)-fructan	fructose	fructose beta-(2,6) fructose			polysaccharide		present; none		
beta-(2,6)-fructan	fructan	beta-fructan	beta-(2,6)-fructan	fructose	fructose beta-(2,6) fructose			polysaccharide				
beta-(2,1)-fructan	fructan	beta-fructan	beta-(2,1)-fructan	fructose	fructose beta-(2,1) fructose			polysaccharide				
fructan	fructan			fructose	fructose beta fructose			polysaccharide				
beta-fructan	fructan	beta-fructan		fructose	fructose beta fructose			polysaccharide				
beta-(2,6)-oligofructan	fructan	beta-fructan	beta-(2,6)-fructan	fructose	fructose beta-(2,6) fructose			oligosaccharide				
beta-fructoside	fructoside	beta-fructoside		fructose	X beta fructose			glycoside	algal			
fucan	fucan	alpha-fucan		fucose	fucose alpha-(1,2) fucose; fucose alpha-(1,3) fucose; fucose alpha-(1,4) fucose	fucose-4-sulfate; fucose-4-acetyl		polysaccharide				acetate
beta-fucoside	fucoside	beta-fucoside		fucose	X beta fucose			glycoside				
alpha-fucoside	fucoside	alpha-fucoside		fucose	X alpha fucose			glycoside				
fucoside	fucoside			fucose	X AB fucose			glycoside				
beta-(1,3)-oligogalactan	galactan	beta-galactan	beta-(1,3)-galactan	galactose	galactose beta-(1,3) galactose			oligosaccharide				
beta-(1,6)-oligogalactan	galactan	beta-galactan	beta-(1,6)-galactan	galactose	galactose beta-(1,6) galactose			oligosaccharide				
alpha-oligogalactan	galactan	alpha-galactan		galactose	galactose alpha galactose			oligosaccharide				
beta-(1,3)-galactan	galactan	beta-galactan	beta-(1,3)-galactan	galactose	galactose beta-(1,3) galactose			polysaccharide				
carrageenan	galactan			galactose; 3,6-anhydro-galactose	galactose alpha-(1,3) 3,6-anhydro-galactose; 3,6-anhydro-galactose beta-(1,4) galactose 			polysaccharide	algal		galactose; 3,6-anhydro-galactose	
agarose	galactan			galactose; 3,6-anhydro-galactose	3,6-anhydro-galactose alpha-(1,3) galactose; galactose beta-(1,4) 3,6-anhydro-galactose			polysaccharide	algal		galactose; 3,6-anhydro-galactose	methyl; pyruvate; sulfate
porphyran	galactan			galactose; 3,6-anhydro-galactose	3,6-anhydro-galactose alpha-(1,3) galactose; galactose beta-(1,4) 3,6-anhydro-galactose; galactose alpha-(1,4) galactose-6-sulfate			polysaccharide	algal		galactose; 3,6-anhydro-galactose	methyl; pyruvate; sulfate
oligoagarose	galactan			galactose; 3,6-anhydro-galactose	3,6-anhydro-galactose alpha-(1,3) galactose; galactose beta-(1,4) 3,6-anhydro-galactose			oligosaccharide	algal		galactose; 3,6-anhydro-galactose	methyl; pyruvate; sulfate
beta-(1,6)-galactan	galactan	beta-galactan	beta-(1,6)-galactan	galactose	galactose beta-(1,6) galactose			polysaccharide				
arabinogalactan	galactan; arabinan	beta-galactan	beta-(1,3)-galactan	galactose; arabinan	galactose beta-(1,3) galactose; arabinose alpha-(1,5) arabinose	fucose; glucuronic acid; arabinose	arabinose alpha-(1,2) fucose; arabinose beta-(1,6) glucuronate; galactose beta-(1,3) galactose; galactose beta-(1,6) galactose; galactose alpha-(1,3) arabinose; arabinose alpha-(1,5) arabinose; galactose beta-(1,4) rhamnose	polysaccharide	hemicellulose	high		
galactolipid	galactoside			galactose	X AB galactose			glycoside	glycolipid			
alpha-galactoside	galactoside	alpha-galactoside		galactose	X alpha galactose			glycoside				
beta-galactoside	galactoside	beta-galactoside		galactose	X beta galactose			glycoside				
galactosyl-N-acylsphingosine	galactoside	galactosphingolipid		galactose	X AB galactose			glycoside	glycolipid			
galactosphingolipid	galactoside	galactosphingolipid		galactose	X AB galactose			glycoside	glycolipid			
alpha-(1,4)-oligogalacturonan	galacturonan	alpha-galacturonan	alpha-(1,4)-galacturonan	galacturonate	galacturonate alpha-(1,4) galacturonate			oligosaccharide	pectin			
pectate	galacturonan	alpha-galacturonan	alpha-(1,4)-galacturonan	galacturonate	galacturonate alpha-(1,4) galacturonate			polysaccharide	pectin	none		
alpha-(1,4)-galacturonan	galacturonan	alpha-galacturonan	alpha-(1,4)-galacturonan	galacturonate	galacturonate alpha-(1,4) galacturonate			polysaccharide	pectin			
galacturonan	galacturonan			galacturonate	galcturonate AB galacturonate			polysaccharide	pectin			
oligogalacturonan	galacturonan			galacturonate	galacturonate AB galacturonate			oligosaccharide	pectin			
