bond	count	ex_count	mags	ex_mags	cat1	cat2	cat3	name origin
glucose alpha-(1,4) glucose	454	101	76	37	glucosidase	alpha glucosidase	alpha-(1,4) glucosidase	bond
xylose beta-(1,4) xylose	389	201	74	52	xylosidase	beta xylosidase	beta-(1,4) xylosidase	bond
glucose alpha-(1,6) glucose	379	100	75	36	glucosidase	alpha glucosidase	alpha-(1,6) glucosidase	bond
glucose alpha-(1,1) glucose	339	81	73	30	glucosidase	alpha glucosidase	alpha-(1,1) glucosidase	bond
X alpha arabinose	318	166	73	44	arabinosidase	alpha arabinosidase		bond
glucose beta-(1,4) glucose	312	147	74	55	glucosidase	beta glucosidase	beta-(1,4) glucosidase	bond
N-acetylglucosamine beta-(1,4) N-acetylglucosamine	241	157	66	65	N-acetylglucosaminidase	beta N-acetylglucosaminidase	beta-(1,4) N-acetylglucosaminidase	bond
N-acetylmuramate beta-(1,4) N-acetylglucosamine	240	157	66	65	peptidoglycanase			polymer
X AB X	233	129	68	47	unknown			
X alpha fucose	221	80	60	24	fucosidase	alpha fucosidase		bond
X beta galactose	212	100	52	29	galactosidase	beta galactosidase		bond
X beta N-acetylgalactosamine	207	97	73	41	N-acetylglucosaminidase	beta N-acetylglucosaminidase		bond
galactose alpha galactose	155	32	59	17	galactosidase	alpha galactosidase		bond
galactose beta galactose	145	79	43	26	galactosidase	beta galactosidase		bond
X beta glucuronate	133	40	47	17	glucuronidase	beta glucuronidase		
glucosamine beta-(1,4) glucosamine	129	62	45	27	glucosaminidase	beta glucosaminidase	beta-(1,4) glucosaminidase	bond
X beta mannose	127	45	49	18	mannosidase	beta mannosidase		bond
glucose beta-(1,3) glucose	103	72	39	35	glucosidase	beta glucosidase	beta-(1,3) glucosidase	bond
X alpha-(1,6) mannose	63	35	28	15	mannosidase	alpha mannosidase	alpha-(1,6) mannosidase	bond
N-acetylgalactosamine alpha-(1,3) N-acetylgalactosamine	63	21	42	14	N-acetylgalactosaminidase	alpha N-acetylgalactosaminidase	alpha-(1,3) N-acetylgalactosaminidase	bond
X alpha-(1,3) mannose	62	35	28	15	mannosidase	alpha mannosidase	alpha-(1,3) mannosidase	bond
mannose beta-(1,4) mannose	58	37	38	24	mannosidase	beta mannosidase	beta-(1,4) mannosidase	bond
X alpha rhamnose	57	24	18	10	rhamnosidase	alpha rhamnosidase		bond
