substrate	count	ex_count	delta	mags	ex_mags	size	cat1	cat2	superfamily	family	subfamily
alpha-(1,4)-glucan	347	345	2	73	31	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,4)-glucan
starch	347	330	17	73	31	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,4)-glucan
beta-(1,4)-xylan	330	325	5	73	41	polysaccharide	xylan	xylan	xylan	beta-xylan	beta-(1,4)-xylan
arabinogalactan	326	317	9	73	44	polysaccharide	arabinogalactan		galactan; arabinan	beta-galactan	beta-(1,3)-galactan
alpha-glucan	325	317	8	72	35	polysaccharide	alpha-glucan		glucan	alpha-glucan	[]
arabinan	318	312	6	73	44	polysaccharide	arabinan		arabinan	[]	[]
arabinoxylan	318	307	11	73	44	polysaccharide	xylan	arabinoxylan	xylan	beta-xylan	beta-(1,4)-xylan
peptidoglycan	318	317	1	67	65	polysaccharide	peptidoglycan		[]	[]	[]
alpha-(1,6)-glucan	312	298	14	72	32	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,6)-glucan
glycogen	309	297	12	71	30	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,4)-glucan 
amylopectin	307	274	33	71	30	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,4)-glucan
dextran	307	260	47	72	30	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,6)-glucan
pullulan	307	296	11	71	30	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,6)-glucan; alpha-mixed-glucan; alpha-(1,4)-glucan
amylose	289	258	31	68	30	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,4)-glucan
beta-(1,4)-glucan	255	254	1	72	50	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,4)-glucan
galactomannan	213	205	8	62	30	polysaccharide	mannan	galactomannan	mannan	beta-mannan	beta-(1,4)mannan
xyloglucan	195	183	12	71	48	polysaccharide	xyloglucan		glucan	beta-glucan	beta-(1,4)-glucan;
chitin	187	180	7	66	64	polysaccharide	chitin		poly-N-acetylglucosamine	beta-poly-N-acetylglucosamine	beta-(1,4)-poly-N-acetylglucosamine
chitosan	124	106	18	45	27	polysaccharide	chitosan		poly-N-acetylglucosamine; polyglucosamine	beta-polyglucosamine; beta-poly-N-acetylglucosamine	[]
xylan	124	106	18	40	33	polysaccharide	xylan	xylan	xylan	[]	[]
lichenin	112	106	6	42	38	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,3)-glucan; beta-mixed-glucan; beta-(1,4)-glucan
cellulose	97	96	1	39	35	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,4)-glucan
beta-glucan	94	94	0	41	36	polysaccharide	beta-glucan		glucan	beta-glucan	[]
beta-(1,3)-glucan	90	87	3	38	34	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,3)-glucan
laminarin	77	64	13	34	29	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,3)-glucan
pachyman	64	63	1	32	26	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,3)-glucan
paramylon	64	64	0	32	26	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,3)-glucan
beta-(1,4)-mannan	58	58	0	38	24	polysaccharide	mannan	mannan	mannan	beta-mannan	beta-(1,4)-mannan
glucomannan	58	58	0	38	24	polysaccharide	mannan	glucomannan	mannan; glucan	beta-mannan; beta-glucan	beta-(1,4)-mannan; beta-(1,4)-glucan
beta-(1,3)-galactan	49	49	0	24	22	polysaccharide	beta-galactan		galactan	beta-galactan	beta-(1,3)-galactan
alpha-(1,3)-glucan	47	43	4	37	7	polysaccharide	alpha-glucan		glucan	alpha-glucan	alpha-(1,3)-glucan
dermatan sulfate	44	43	1	22	20	polysaccharide	glycosaminoglycan		glycosaminoglycan	[]	[]
beta-(1,6)-glucan	35	35	0	22	13	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,6)-glucan
pustulan	35	35	0	22	13	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,6)-glucan
chondroitin sulfate	33	31	2	21	17	polysaccharide	glycosaminoglycan		glycosaminoglycan	[]	[]
rhamnogalacturonan	28	28	0	15	13	polysaccharide	galacturonan	rhamnogalacturonan	rhamnogalacturonan	[]	[]
beta-(1,3)-xylan	25	25	0	16	11	polysaccharide	xylan	xylan	xylan	beta-xylan	beta-(1,3)-xylan
polysaccharide	25	25	0	11	10	polysaccharide			[]	[]	[]
alpha-(1,4)-galacturonan	24	24	0	15	13	polysaccharide	galacturonan	galacturonan	galacturonan	alpha-galacturonan	alpha-(1,4)-galacturonan
beta-(1,2)-glucan	19	19	0	13	11	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,6)-glucan
hyaluronate	19	17	2	14	12	polysaccharide	glycosaminoglycan		glycosaminoglycan	[]	[]
beta-(2,1)-fructan	16	15	1	13	8	polysaccharide	fructan		fructan	beta-fructan	beta-(2,1)-fructan
agarose	15	15	0	13	13	polysaccharide	algal polysaccharides	agarose	galactan	[]	[]
beta-(2,6)-fructan	15	15	0	13	8	polysaccharide	fructan		fructan	beta-fructan	beta-(2,6)-fructan
heparin sulfate	15	15	0	8	6	polysaccharide	glycosaminoglycan		glycosaminoglycan	[]	[]
levan	15	15	0	13	8	polysaccharide	fructan		fructan	beta-fructan	beta-(2,6)-fructan
porphyran	15	15	0	13	13	polysaccharide	algal polysaccharides	carrageenan	galactan	[]	[]
algin	12	12	0	8	8	polysaccharide	algal polysaccharides	carrageenan	algin	[]	[]
carrageenan	11	10	1	10	10	polysaccharide	algal polysaccharides	carrageenan	galactan	[]	[]
keratan sulfate	11	11	0	10	10	polysaccharide	glycosaminoglycan	keratan sulfate	glycosaminoglycan	[]	[]
galacturonan	7	6	1	6	4	polysaccharide	galacturonan	galacturonan	galacturonan	[]	[]
glucuronoxylan	7	7	0	6	5	polysaccharide	xylan	glucuronoxylan	xylan	beta-xylan	beta-(1,4)-xylan
beta-(1,6)-galactan	6	5	1	5	3	polysaccharide	beta-galactan		galactan	beta-galactan	beta-(1,6)-galactan
glucouronoarabinoxylan	6	5	1	5	3	polysaccharide	xylan	glucuronoarabinoxylan	xylan	beta-xylan	beta-(1,4)-xylan
beta-(1,4)-glucuronan	5	2	3	5	5	polysaccharide	algal polysaccharides	beta-(1,4)-glucuronan	glucuronan	beta-glucuronan	beta-(1,4)-glucuronan
xanthan	4	1	3	3	3	polysaccharide	other	xanthan	glucan	beta-glucan	beta-(1,4)-glucan
cellobiose	2	1	1	1	0	polysaccharide	beta-glucan		glucan	beta-glucan	beta-(1,4)-glucan
fucan	2	1	1	2	1	polysaccharide	algal polysaccharides	fucan	fucan	alpha-fucan	[]
alpha-(1,4)-polygalactosamine	1	0	1	1	1	polysaccharide	other		polygalactosamine	alpha-polygalactosamine	alpha-(1,4)-polygalactosamine
galactosaminogalactan	1	0	1	1	0	polysaccharide	glycosaminoglycan		polygalactosamine	[]	[]
gellan	1	0	1	1	0	polysaccharide	other	gellan	[]	[]	[]
heparan sulfate	1	0	1	1	1	polysaccharide	glycosaminoglycan	heparan sulfate	glycosaminoglycan	[]	[]
ulvan	1	0	1	1	1	polysaccharide	algal polysaccharides	ulvan	ulvan	[]	[]
inulin	16	15	1	13	8	polysaccharide	fructan		fructan	beta-fructan	beta-(2,1)-fructan
